Episodes Time-Steps Steps-In-One-Episode
31903 1260 13
31912 1261 9
31919 1262 7
31926 1263 7
31935 1264 9
31942 1265 7
31951 1266 9
31958 1267 7
31968 1268 10
31978 1269 10
31987 1270 9
31998 1271 11
32006 1272 8
32033 1273 27
32043 1274 10
32057 1275 14
32068 1276 11
32075 1277 7
32084 1278 9
32092 1279 8
32103 1280 11
32141 1281 38
32150 1282 9
32162 1283 12
32170 1284 8
32178 1285 8
32188 1286 10
32196 1287 8
32204 1288 8
32213 1289 9
32234 1290 21
32242 1291 8
32254 1292 12
32274 1293 20
32283 1294 9
32294 1295 11
32302 1296 8
32310 1297 8
32328 1298 18
32336 1299 8
32350 1300 14
32359 1301 9
32366 1302 7
32378 1303 12
32388 1304 10
32401 1305 13
32423 1306 22
32439 1307 16
32448 1308 9
32460 1309 12
32468 1310 8
32477 1311 9
32493 1312 16
32504 1313 11
32525 1314 21
32538 1315 13
32550 1316 12
32557 1317 7
32566 1318 9
32575 1319 9
32586 1320 11
32598 1321 12
32605 1322 7
32620 1323 15
32627 1324 7
32635 1325 8
32642 1326 7
32656 1327 14
32671 1328 15
32681 1329 10
32705 1330 24
32719 1331 14
32726 1332 7
32747 1333 21
32754 1334 7
32763 1335 9
32771 1336 8
32779 1337 8
32789 1338 10
32800 1339 11
32809 1340 9
32819 1341 10
32831 1342 12
32844 1343 13
32857 1344 13
32870 1345 13
32877 1346 7
32884 1347 7
32899 1348 15
32907 1349 8
32921 1350 14
32930 1351 9
32958 1352 28
32967 1353 9
32978 1354 11
32985 1355 7
33003 1356 18
33010 1357 7
33022 1358 12
33032 1359 10
33041 1360 9
33053 1361 12
33062 1362 9
33070 1363 8
33077 1364 7
33086 1365 9
33093 1366 7
33102 1367 9
33118 1368 16
33129 1369 11
33139 1370 10
33148 1371 9
33160 1372 12
33170 1373 10
33182 1374 12
33200 1375 18
33207 1376 7
33214 1377 7
33249 1378 35
33257 1379 8
33265 1380 8
33294 1381 29
33303 1382 9
33311 1383 8
33321 1384 10
33336 1385 15
33347 1386 11
33354 1387 7
33372 1388 18
33379 1389 7
33389 1390 10
33400 1391 11
33410 1392 10
33417 1393 7
33425 1394 8
33433 1395 8
33459 1396 26
33474 1397 15
33483 1398 9
33495 1399 12
33503 1400 8
33521 1401 18
33529 1402 8
33552 1403 23
33575 1404 23
33623 1405 48
33634 1406 11
33642 1407 8
33650 1408 8
33663 1409 13
33676 1410 13
33684 1411 8
33728 1412 44
33742 1413 14
33778 1414 36
33819 1415 41
33844 1416 25
33860 1417 16
33869 1418 9
33887 1419 18
33899 1420 12
33913 1421 14
33965 1422 52
33985 1423 20
33994 1424 9
34062 1425 68
34069 1426 7
34101 1427 32
34116 1428 15
34132 1429 16
34155 1430 23
34165 1431 10
34177 1432 12
34210 1433 33
34233 1434 23
34242 1435 9
34261 1436 19
34270 1437 9
34283 1438 13
34294 1439 11
34301 1440 7
34310 1441 9
34333 1442 23
34340 1443 7
34351 1444 11
34360 1445 9
34371 1446 11
34386 1447 15
34407 1448 21
34416 1449 9
34435 1450 19
34448 1451 13
34467 1452 19
34476 1453 9
34488 1454 12
34506 1455 18
34515 1456 9
34526 1457 11
34551 1458 25
34564 1459 13
34579 1460 15
34598 1461 19
34606 1462 8
34619 1463 13
34644 1464 25
34655 1465 11
34663 1466 8
34677 1467 14
34686 1468 9
34695 1469 9
34714 1470 19
34721 1471 7
34741 1472 20
34760 1473 19
34777 1474 17
34800 1475 23
34815 1476 15
34824 1477 9
34837 1478 13
34848 1479 11
34855 1480 7
34866 1481 11
34875 1482 9
34888 1483 13
34901 1484 13
34916 1485 15
34933 1486 17
34944 1487 11
34957 1488 13
34964 1489 7
34975 1490 11
34983 1491 8
34996 1492 13
35011 1493 15
35022 1494 11
35037 1495 15
35047 1496 10
35060 1497 13
35067 1498 7
35078 1499 11
35087 1500 9
35096 1501 9
35107 1502 11
35128 1503 21
35142 1504 14
35151 1505 9
35158 1506 7
35167 1507 9
35182 1508 15
35193 1509 11
35206 1510 13
35213 1511 7
35220 1512 7
35237 1513 17
35248 1514 11
35255 1515 7
35276 1516 21
35287 1517 11
35303 1518 16
35323 1519 20
35334 1520 11
35341 1521 7
35350 1522 9
35358 1523 8
35373 1524 15
35380 1525 7
35394 1526 14
35415 1527 21
35424 1528 9
35431 1529 7
35444 1530 13
35453 1531 9
35462 1532 9
35476 1533 14
35487 1534 11
35500 1535 13
35510 1536 10
35517 1537 7
35528 1538 11
35539 1539 11
35549 1540 10
35558 1541 9
35565 1542 7
35574 1543 9
35588 1544 14
35621 1545 33
35630 1546 9
35645 1547 15
35659 1548 14
35668 1549 9
35692 1550 24
35704 1551 12
35719 1552 15
35744 1553 25
35752 1554 8
35785 1555 33
35792 1556 7
35813 1557 21
35824 1558 11
35853 1559 29
35864 1560 11
35873 1561 9
35890 1562 17
35900 1563 10
35911 1564 11
35930 1565 19
35946 1566 16
35956 1567 10
35963 1568 7
35973 1569 10
35986 1570 13
35996 1571 10
36015 1572 19
36028 1573 13
36055 1574 27
36062 1575 7
36071 1576 9
36084 1577 13
36103 1578 19
36122 1579 19
36143 1580 21
36162 1581 19
36185 1582 23
36192 1583 7
36199 1584 7
36208 1585 9
36220 1586 12
36231 1587 11
36250 1588 19
36259 1589 9
36272 1590 13
36281 1591 9
36289 1592 8
36302 1593 13
36325 1594 23
36336 1595 11
36343 1596 7
36350 1597 7
36360 1598 10
36377 1599 17
36390 1600 13
36404 1601 14
36411 1602 7
36420 1603 9
36437 1604 17
36446 1605 9
36459 1606 13
36474 1607 15
36481 1608 7
36488 1609 7
36497 1610 9
36506 1611 9
36517 1612 11
36528 1613 11
36537 1614 9
36546 1615 9
36554 1616 8
36583 1617 29
36590 1618 7
36601 1619 11
36620 1620 19
36627 1621 7
36636 1622 9
36648 1623 12
36655 1624 7
36664 1625 9
36671 1626 7
36688 1627 17
36699 1628 11
36713 1629 14
36723 1630 10
36732 1631 9
36745 1632 13
36756 1633 11
36774 1634 18
36800 1635 26
36807 1636 7
36822 1637 15
36845 1638 23
36854 1639 9
36865 1640 11
36872 1641 7
36887 1642 15
36896 1643 9
36905 1644 9
36914 1645 9
36923 1646 9
36932 1647 9
36954 1648 22
36961 1649 7
36970 1650 9
36980 1651 10
36993 1652 13
37000 1653 7
37007 1654 7
37016 1655 9
37027 1656 11
37042 1657 15
37063 1658 21
37074 1659 11
37093 1660 19
37103 1661 10
37112 1662 9
37141 1663 29
37154 1664 13
37166 1665 12
37173 1666 7
37188 1667 15
37198 1668 10
37208 1669 10
37222 1670 14
37231 1671 9
37241 1672 10
37256 1673 15
37271 1674 15
37278 1675 7
37289 1676 11
37305 1677 16
37314 1678 9
37327 1679 13
37342 1680 15
37353 1681 11
37360 1682 7
37377 1683 17
37387 1684 10
37396 1685 9
37407 1686 11
37415 1687 8
37434 1688 19
37443 1689 9
37455 1690 12
37466 1691 11
37481 1692 15
37494 1693 13
37501 1694 7
37508 1695 7
37532 1696 24
37543 1697 11
37552 1698 9
37562 1699 10
37574 1700 12
37589 1701 15
37630 1702 41
37641 1703 11
37650 1704 9
37662 1705 12
37675 1706 13
37692 1707 17
37699 1708 7
37710 1709 11
37725 1710 15
37735 1711 10
37756 1712 21
37776 1713 20
37797 1714 21
37812 1715 15
37821 1716 9
37829 1717 8
37840 1718 11
37847 1719 7
37870 1720 23
37880 1721 10
37891 1722 11
37910 1723 19
37917 1724 7
37928 1725 11
37935 1726 7
37948 1727 13
37955 1728 7
37968 1729 13
37975 1730 7
37984 1731 9
37993 1732 9
38009 1733 16
38016 1734 7
38039 1735 23
38052 1736 13
38065 1737 13
38076 1738 11
38085 1739 9
38095 1740 10
38117 1741 22
38128 1742 11
38139 1743 11
38148 1744 9
38160 1745 12
38175 1746 15
38184 1747 9
38200 1748 16
38213 1749 13
38220 1750 7
38229 1751 9
38255 1752 26
38274 1753 19
38295 1754 21
38302 1755 7
38309 1756 7
38320 1757 11
38327 1758 7
38334 1759 7
38341 1760 7
38350 1761 9
38359 1762 9
38376 1763 17
38385 1764 9
38396 1765 11
38403 1766 7
38410 1767 7
38439 1768 29
38453 1769 14
38471 1770 18
38484 1771 13
38499 1772 15
38506 1773 7
38521 1774 15
38535 1775 14
38553 1776 18
38563 1777 10
38572 1778 9
38581 1779 9
38601 1780 20
38610 1781 9
38628 1782 18
38635 1783 7
38642 1784 7
38659 1785 17
38672 1786 13
38683 1787 11
38690 1788 7
38705 1789 15
38718 1790 13
38727 1791 9
38746 1792 19
38753 1793 7
38775 1794 22
38782 1795 7
38789 1796 7
38796 1797 7
38814 1798 18
38821 1799 7
38830 1800 9
38839 1801 9
38846 1802 7
38859 1803 13
38875 1804 16
38884 1805 9
38891 1806 7
38902 1807 11
38915 1808 13
38928 1809 13
38943 1810 15
38954 1811 11
38971 1812 17
38978 1813 7
38991 1814 13
39000 1815 9
39013 1816 13
39039 1817 26
39060 1818 21
39069 1819 9
39080 1820 11
39093 1821 13
39120 1822 27
39138 1823 18
39149 1824 11
39157 1825 8
39173 1826 16
39180 1827 7
39202 1828 22
39214 1829 12
39244 1830 30
39260 1831 16
39430 1832 170
39451 1833 21
39492 1834 41
39523 1835 31
39538 1836 15
39559 1837 21
39592 1838 33
39614 1839 22
39639 1840 25
39657 1841 18
39671 1842 14
39689 1843 18
39705 1844 16
39742 1845 37
39762 1846 20
39788 1847 26
39800 1848 12
39824 1849 24
39850 1850 26
